title,provide_salary,company_type,company_size,company_ind,attribute
大数据工程师（智能连接部-外包）,35.9-36万/年,国企,500-1000人,通信/电信运营、增值服务,"['上海', '无需经验', '本科', '招若干人']"
大数据开发工程师(J10035),2-2.5万/月,民营公司,5000-10000人,快速消费品(食品、饮料、化妆品),"['上海', '5-7年经验', '硕士', '招1人']"
大数据开发工程师,20-30万/年,国企,1000-5000人,计算机硬件,"['杭州', '3-4年经验', '本科', '招若干人']"
大数据开发工程师,0.8-1万/月,合资,1000-5000人,计算机软件,"['长沙-天心区', '1年经验', '大专', '招3人']"
大数据研发工程师,1.5-2.5万/月,上市公司,10000人以上,酒店/旅游,"['上海-闵行区', '3-4年经验', '本科', '招若干人']"
大数据开发（上海研发中心）,20-35万/年,事业单位,1000-5000人,电子技术/半导体/集成电路,"['上海-杨浦区', '2年经验', '硕士', '招2人']"
TME-大数据平台WEB研发工程师,,民营公司,10000人以上,互联网/电子商务,"['深圳', '3-4年经验', '硕士', '招1人']"
高级大数据开发工程师 (MJ000018),1.3-2.3万/月,民营公司,150-500人,网络游戏,"['武汉-洪山区', '3-4年经验', '本科', '招2人']"
系统工程师（大数据） (MJ000289),1-1.5万/月,外资（非欧美）,150-500人,计算机软件,"['无锡', '3-4年经验', '本科', '招1人']"
大数据架构高级工程师,2-3万/月,国企,500-1000人,家具/家电/玩具/礼品,"['青岛', '5-7年经验', '本科', '招1人']"
大数据研发工程师,,外资（非欧美）,1000-5000人,互联网/电子商务,"['上海', '1年经验', '硕士', '招1人']"
2020信息-大数据技术专家,2-3万/月,国企,10000人以上,航天/航空,"['上海-闵行区', '5-7年经验', '本科', '招若干人']"
大数据架构师,1.5-2万/月,外资（欧美）,500-1000人,专业服务(咨询、人力资源、财会),"['大连', '5-7年经验', '本科', '招2人']"
大数据开发岗(J10680),1.5-2万/月,国企,5000-10000人,金融/投资/证券,"['上海-静安区', '3-4年经验', '本科', '招若干人']"
大数据行业经理,,上市公司,10000人以上,通信/电信/网络设备,"['无锡', '3-4年经验', '本科', '招1人']"
Consultant/Sr. Consultant - 大数据开发 - Cloud COE - Consulting - GDC CQ,,合资,500-1000人,专业服务(咨询、人力资源、财会),"['重庆', '5-7年经验', '本科', '招若干人']"
大数据开发工程师,1.5-2.2万/月,外资（非欧美）,500-1000人,多元化业务集团公司,"['杭州-西湖区', '3-4年经验', '本科', '招1人']"
